cluster_number,NNT,mTOR,KEAP1,HSP70,PCYOX1L,PRDX4,SOD2,X53bp1,GPX4,NRF2,HIF1a,PDI,HO1,ICOS,p38MAPK,ACOX3,AQP8,Ref.1.APE,pNFkB,ERO1B,QSOX1,ox.PTP,p53,ox.DJ1,EOMES
1,5.9668305014803895,0.5219926003159358,1.9163111924289686,12.377095896567635,1.454788555926961,1.3584957511599753,47.88511697521788,5.815303742357473,7.30112018027517,2.843673923570414,1.5225225625225447,102.31401781531176,2.62545734518391,30.202604333949658,12.473451283761117,4.552572180622761,10.962627675522391,82.30803757505004,21.62690438518098,26.842271136046477,8.843289556262816,36.55269370821634,0.501554440547097,1.685745552204756,4.313489923999073
2,2.4790844322945724,0.31600453588114047,1.1329419586963243,8.485232248053075,0.6452558227445323,0.7256008696201763,36.09652176858279,2.354598331664548,3.8630951132505436,1.4143850002688652,0.9523719435403069,14.095982128074088,1.4261567166686706,8.712996486890816,7.433899330643479,2.524163309622581,5.305165685921447,24.603215227702908,12.857796874895111,15.561114344263483,5.5811725674466395,5.457302475571167,0.3397338968124356,0.8356139789279744,9.09334439450773
3,1.9637331326816914,0.26920909934519927,0.9984914518610847,8.065926034336309,0.49819485753204645,0.5860950519902398,8.761993815104688,1.4404161982013204,2.793377876330275,0.988996178859497,0.8800245422721651,10.400393678453465,0.951792948274672,5.35123769760244,6.262093964699106,1.9910196599308432,4.368641882721133,19.416769569792898,9.011413618815393,12.014931518556613,3.8919883843703014,4.452898305970937,0.2875597494903819,0.6859788277191945,7.353738731088443
4,2.705751969886122,0.3349220686332406,1.2819027389752726,9.124730147272972,0.6333647673498476,0.847557673712898,13.372475931510134,2.3559169753090035,4.295235883660441,1.401060789883914,1.0461444200159404,17.213524889748488,1.3384532675613106,8.576792838746236,8.632396219136398,2.8575504915854637,5.852943965718152,51.451626087157855,13.278878302297567,18.593261390060583,5.6760478900487925,7.467431071955225,0.3903001267041992,0.942841285348567,9.479353130828189
5,4.9678141246900225,0.46510960360929166,1.679057685478294,9.860344379071591,1.8707813602490482,1.035090136956588,42.18836157504113,3.436885125325971,5.090193805768469,2.087946118903275,2.0564640138926125,40.87009120600914,1.7946526011317592,15.889421969726582,8.477582779847678,3.562237949757045,7.958399154182025,42.524649511186595,14.895062838835491,19.526079222375476,7.373324145300076,284.33261639482106,0.3926192432856055,1.2127343051180504,5.761950518069307
6,2.510361461424393,0.2997830961236857,1.1927109563634104,8.681938993011375,0.6024250700560122,0.7754427098975339,15.589690446531735,1.9375712965782832,3.6729291228486907,1.2563362841221564,0.8839288700028675,12.903978296489964,1.0743753021102085,7.486279999199962,7.338279045745269,2.5064269173185814,5.465596614222329,28.73171636555907,11.216441619005831,15.139754149286752,5.19799918697381,67.19325888060409,0.3678566502334162,0.816553285688874,7.968467727878321
7,3.3835594968619045,0.44785995242380955,1.3704918156809525,8.060279641861904,1.651237417947619,0.8112660220095238,15.719877460957143,1.8208408601380952,3.780403229295238,1.6345032702523812,205.9971399619524,33.6058601568381,2.2432688789238093,7.209660032338094,6.284855234238095,2.4203281493809525,5.407673887209524,27.56694905032857,10.031237888309525,13.574567828933333,5.090053512309524,14.018934114709525,0.3211983460809524,0.7633384781095237,7.32874088967619
