cluster_number,NNT,mTOR,KEAP1,HSP70,PCYOX1L,PRDX4,SOD2,X53bp1,GPX4,NRF2,HIF1a,PDI,HO1,ICOS,p38MAPK,ACOX3,AQP8,Ref.1.APE,pNFkB,ERO1B,QSOX1,ox.PTP,p53,ox.DJ1,EOMES
1,0.03777494115074781,0.04032510542795006,0.03964187438461409,0.03806020336469848,0.038337546457187295,0.039582787087882494,0.03542750080550673,0.04003433811670958,0.037651416806673076,0.039540270702580954,0.10848481894830206,0.051590721487743955,0.03955965156602361,0.017265046523140298,0.03344794284362201,0.040057557191103675,0.012943340142859179,0.03621245934261426,8.531770050015548e-12,0.02896213778837626,0.0370680366102328,0.09562282315564549,0.04012157941021993,0.03627409672012512,0.03601380395690892
2,0.014349747373210734,0.01444671832242844,0.013421724106976955,0.006984600956623589,0.0017407261551175574,0.012941579889007274,0.028407776831524473,0.0133631187412114,0.008613541681423297,0.012247507647055475,0.26167529961758024,0.09411654309800292,0.01236735991522888,0.01624921019590819,3.028044841549666e-11,0.012707390620143897,0.011925189076334263,0.06461502773626306,0.009643050916559722,0.007245563473832755,0.008874102916685792,0.34375042841612535,0.014132380284519552,0.013947484386343195,0.002233927611612623
3,0.01231599245484495,0.010930624338005538,0.010356385554217605,0.005835574563859621,0.009996535478188559,0.00989530950544109,0.061378644214251286,0.01273607154012599,0.009531977657020933,0.010374657602254603,0.23749908844483122,0.0983691282038086,0.010403515156965824,0.02606535044398966,0.00010313525990184929,0.010953271264305026,0.013048539644831478,0.07216007920900408,0.016960449963117564,0.012947663713050696,0.010223905645727544,0.3168887921532355,0.010386939848979315,0.010638368112087036,2.7954368228910643e-11
4,0.01879957991359272,0.020598310537281388,0.01941852261527343,2.566945899722124e-11,0.020464742128700815,0.01896931343394835,0.04922403496831181,0.01945903080395216,0.014851241563716379,0.018685626849358046,0.2289071911947078,0.07857387822175214,0.018734186285325177,0.02034412921303329,0.004827805630886985,0.01882672905525026,0.017383852567527454,0.041865046903183,0.01579140020465533,0.0015730800119215815,0.014787500992506314,0.29107960444086034,0.019988175729193633,0.018354312969440966,0.008492703739951132
5,0.03944164670181123,0.04207572538341272,0.041664270582658335,0.04102477147823648,0.04000541183281396,0.04176149184798828,0.03940128031184495,0.0417231205659877,0.04135351987307453,0.041774506247220095,0.06385283857353306,0.03657625177575167,0.04180203388175937,0.03891732354124272,0.040218322066558704,0.04188074587414086,0.0414523600147983,0.0385018929473583,0.04101779722839297,0.039609105756533126,0.041185743378653335,2.9567273914517582e-12,0.041962084329280384,0.042028548949637076,0.04076920685435542
6,0.014809691941831911,0.01651241162465353,0.015301057293591196,0.009111032394287103,0.016600054922498112,0.014746679104308689,0.038268209452179756,0.016436259258107457,0.010579068492782498,0.014673854516457176,0.2804909311235698,0.10625036046912917,0.015326363074774715,0.02127633809095052,3.2415176542986296e-11,0.015049489373705033,0.01352241984216882,0.046807624321436356,0.016094320876267172,0.0025180210472225935,0.010409294475952038,0.2719337494415324,0.015551080370874647,0.015909790294668227,0.0018218981646357891
7,0.01888588885157046,0.037239698230771424,0.03333729680086327,0.034394442885182,0.022844700294205385,0.03688315103005952,0.026889988537953876,0.03825114818134901,0.034850763605944884,0.03626438353157277,1.795347325468205e-11,0.041074855637143706,0.035640944607253464,0.04178271940407326,0.03348087591145186,0.03640552886293013,0.036968142426252015,0.051615548812034104,0.03923990074433958,0.03330664291477512,0.03416697360765138,0.1900457751418502,0.03768282586821836,0.037700119941732085,0.03104768415286897
